item
phedon papamichael
martyn pick
jmes cameron
rusty cundieff
saul dibb
ken shapiro
morio asaka
donal mosher
terence daw
junichi fujisaku
alan j pakula
nathan frankowski
franklin guerrero jr
christian molina
blair rowan
john wells
toby shelton
lisa krueger
gregg sacon
mac carter
isaak pearlman
steve zacharias
j randolph harrison
damiano damiani
peter sollett
kostas karagiannis
harry elfont
roger vadim
r j cutler
rory mchenry
tirantino
rob pritts
joe damato
steven speilberg
matthew ryan hoge
jeff melman
alison murray
javier mariscal
martin scorcese
brett harvey
howard zieff
ang lee
orson welles
jac schaeffer
chris sivertson
david m matthews
jessy terrero
m night shamolan
hiroyuki kitakubo
cruz angeles
frank darabont
john slowsky
lance bangs
robert markowitz
stewart hopewell
christine jeffs
fritz lang
julian doyle
nick moran
julie delpy
mikey hilb
putipong saisikaew
paul hunter
jon d wagner
blaxwell smart
steven silver
sam osteen
tim hill
sofia coppola
james quattrochi
gabriel bologna
edward lachman
george scribner
johan renck
who framed roger rabbit
wayne wang
clint eastwood
kinji fukasaku
robert young
susan muska
lynn shelton
amanda fire
oliver stones
kurt anderson
john dunson
david fincher
jesse v johnson
martin mcdonagh
peter webb
rubert grint
eric mandelbaum
aaron woolf
louis malle
peter greenaway
cheetah gonzalez
james cameron
jim henson
hammer
john boorman
michael fischa
william t hurtz
david mackenzie
andy fickman
paul rachman
bo zenga
susan simmons
ivan mitov
robby benson
ken wheat
kazuaki kiriya
jane campion
kris sherwood
david stuart
byrd mcdonald
brett ratner
bob gray
john de bello
olivier megaton
jose quiroz
dee snider
florian baxmeyer
tom kuntz
mark a lewis
george barry
ralph thomas
christopher guest
franco steffanino
kevin dunn
richard eyre
josetxo san mateo
joseph h lewis
ryan shiraki
anne norda
derek hoffman
mark freiburger
paul crowder
carl bessai
vincente minnelli
brian de palma
simon delaney
adam tierney
perce pearce
tim ritter
jj abrams
charles chaplin
tom kalin
michael staininger
habib azar
milos forman
michael james rowland
alex steyermark
jon turteltaub
zelda barron
richard robinson
melville shavelson
tze chun
herbert ross
mel brooks
victor fleming
fabrice du welz
irwin allen
tim doiron
gus van zant
david lynch
cohen brothers
warren ryan
adam fields
kevan tucker
tim story
joseph kell
harmony korine
antoine fuqua
david munro
gary ross
who is the director of the breakfast club
peter webber
kevin branagh
grant harvey
peter speers
nicola scott
bentley dean
ron wolotzky
hironobu sakaguchi
brad pitt
richard dutcher
john erick dowdle
todd tucker
harvey coreman
harold f kress
charlie russell
terry george
michael campus
axel sand
david lean
ari taub
larry peerce
mark quod
the legend of bagger vance
stephen bradley
bam margera
rebecca cammisa
busby berkley movies
screaming mad george
gary russell
colin higgins
ann turner
james whale
rodger grossman
mike million
kelly overton
peter segal
j s cardone
dean koontz
ti west
rob reiners
brett simon
christopher palko
david kendall
george gallo
po chih leong
terence fisher
paul thomas andersons
daniel waters
richard dale
joseph sargent
peter kuran
trevor moore
leon lozano
sheng ding
john hindman
brian burns
andrew stevens
steven speilburg
nick stagliano
marshall brickman
sylvester stallone
burny mattinson
james isaac
john hillcoat
charles haid
eric espejo
andrew knight
miguel arteta
joan saffa
roger michell
jesse warren
steven seagal
steve marra
andrew douglas
philip adrian booth
richard griffin
don siegel
deborah kaplan
john connolly
david keith
tony bill
daniel sackheim
sara sugarman
ward powers
travis betz
jerry schatzberg
peter chelsom
steven spielberg
alan g parker
ira sachs
john glenn
hammer films
johan grimonprez
hugh hudson
yi seung jun
darren aranofsky
howard zinn
bill kopp
james patterson
rob minkoff
william friedkin
the coen brothers
richard rosson
joy batchelor
alex pires
lee basannavar
john g avildsen
david presley
iren koster
dean parisot
andrew gurland
stanley kubrick
george cukor
pearl bailey
michael neel
larry buchanan
matt dillon
alfred hitchcocks
jacob ransom
earnest harris
garth jennings
michael renny
john ford
john rebel
jonathan demme
ian mccrudden
mira nair
robert hiltzik
mark joffe
george romeros
michael addis
tuukka tiensuu
christophe gans
amos kollek
marcus raboy
andrew bellware
gary david goldberg
stephen king
edward buzzell
john robins
anat baron
kirk r thatcher
find me a comedy directed by john landis
gore verbinski
peter cohn
will lovelace
drew rosas
matthew ginsburg
gordon kent
michael bay
greg barker
sean simmons
billy wilder
hal mohr
pete travis
arthur vincie
michael switzer
joel silverman
georgina lightning
ryan stevens harris
david vonallmen
mario azzopardi
brad haynes
larry morey
the vicious brothers
patrick tatopoulos
alex de rakoff
michael spierig
william wesley
john carney
michel gondry
vince damato
eric sykes
barbra streisand
nolan
jason robert stephens
chris waitt
robert zemeckis
tony shyu
loretta alper
charles hood
eli roth
frank capra
jim jarmusch
thomas l phillips
yasushi muraki
drake doremus
michael feifer
juan delancer
ken hughes
matthew oneill
joel gilbert
john elliotte
john geddes
bob giraldi
steve binder
sean doyle
paul williams
rob carpenter
matthew ocallaghan
barbara kopple
matthew asner
huck botko
dusty nelson
sally field
aaron katz
john bruno
graham reznick
yann samuell
mario gariazzo
s f brownrigg
karen harley
ernest johnson
hoyt yeatman
susan sarandon
ryan cavalline
steven king
steve stamatiadis
lawrence schiller
morten willoch
gregg champion
mark romanek
miguel courtois
tom decerchio
sergio leone
master p
michael miller
christopher nolan
mathew miller
david schwimmer
michael keusch
john malcovich
mark herman
sean skelding
fred calvert
dani menkin
luke greenfield
farely brothers
david whitney
directors
don coscarellis
hall wallis
chris angel
emmett alston
phil alden robinson
spike jonze
william lustig
donald wrye
micheal wright
anna lorentzon
stanly kubrick
masahiko maesawa
john r leonetti
john cafiero
john sayles
sylvain chomet
steven goldmann
adam barnick
federico rivia
stephen cornwell
john cleese
michael mann
theresa cullen
randall cole
martin gero
francis ford coppola
bob fosse
roger avary
kris isacsson
antoine thomas
brad silberling
pauly shore
mihalis kakogiannis
gerson sanginitto
stephan elliott
dean deblois
anthony minghella
christopher cain
shawn levy
les mayfield
mark griffiths
a f silver
paul schneider
marcos efron
james de frond
jeremy saulnier
paul lynch
josh rubin
jesse vaughan
peter lupus
glen morgan
willard carroll
fritz kiersch
alexander payne
barry jenkins
matt birch
nick park
raimund huber
john kalangis
hitchcock
osamu dezaki
jim drake
florian henckel von donnersmarck
luca guadagnino
mel welles
georgina riedel
gregory widen
clint hutchison
michael davis
todd verow
sam mendes
ethan wiley
rosie odonnell
chris nahon
michael damian
van fischer
mark l lester
ernst gossner
thor freudenthal
david m holechek
josh radnor
woody allen
chris r notarile
michael patrick king
michael haussman
jason todd ipson
tim hamilton
rod serling
jonathan glazer
martin sheen
irving lerner
paul mazursky
britt allcroft
tim wolochatiuk
john patrick shanley
paul norman
strathford hamilton
ken russell
dennis feldman
ivan zuccon
james shanks
leah sturgis
jordan brady
philip g atwell
lamberto bava
paul winfield
trey stone
charlie vaughn
oliver stone
bob byington
guillermo del toro
bill fishman
michel orion scott
erik canuel
steve barron
fuminori kizaki
robin blazak
kolton lee
jag mundhra
corey yuen
bruce koehler
anjelica huston
lina wertmuller
peggy holmes
how many movies has steven spielberg created
i m watching a movie directed by
eddy murphy
jordan galland
mahiro maeda
john travolta
seiji chiba
jon gunn
cedric hardwicke
giancarlo esposito
bill benenson
nancy meyers
antony szeto
alex gibney
robert michael lewis
steven spielbergs
ric la monte
werner herzog
michael mccarthys
monty lapica
roger aronoff
katsuhiro ohtomo
robert englends
ken annakin
t c christensen
sarah townsend
hayao miyazaki
bill platt
rick baker
bob balaban
tetsuro amino
barbara bell
ben stiller
lisa wolfinger
alexander hall
friz freleng
mark simmons
alex proyas
ray brady
morten lindberg
patrick pierre
patrick phillips
jimmy t murakami
mel gibson
m night shyamalan
john whitesell
callie khouri
tim burtons
paul francis sullivan
stevan mena
kazuo terada
ralph levy
cess silvera
jonathan segal
charles stewart
alexander williams
simon wincer
erik macarthur
cindy meehl
marek losey
larry hagman
garry marshall
dennis hopper
andrew lane
director
quinton tarrantino
gray hofmeyr
mike bigelow
guy ritchies
ben trandem
ruben preuss
adam sandler
ridley scott
harold young
mike browne
edward may
kathrine windfeld
stephen spillburg
christopher forbes
delbert mann
takashi ishii
mike schneider
marc singer
tim blake nelson
rob reiner
adam wingard
roman polanski
lewis milestone
peter rodger
les anderson
tim brown
raymond de felitta
takahiro tanaka
bruce campbell
john schlesinger
wayne a harold
nicole holofcener
conrad rooks
wes anderson
stephen j anderson
jonathan wacks
michael patrick jann
francois truffaut
kirt gunn
pixar
arthur marks
nolan lebovitz
j c adams
diablo cody
jeff betancourt
henry jaglom
stewart sugg
steven soderbergh
philip alderton
kevin gendreau
stephen speilberg
joe lynch
ridley scotts
barry lyndon
herbert l strock
james bedford
michael lander
george lucas
chris kentis
jeffery friedman
david levien
anthony russo
dave r watkins
andrew leman
kirsten sheridan
paul abascal
gino nichele
chris moon
mike gasaway
wych kaosayananda
shunji iwai
wes craven
craig ferguson
walter hill
don roos
thomas bangalter
gregory bayne
allan a goldstein
simon pegg
david steiman
jay alaimo
jon m chu
chad martin
guy ferland
brad wiebe
scott prendergast
stephen maddocks
kieran carney
paul champion
taylor steele
terry jones
ted demme
stoney sharp
scott elliott
julianna lavin
don taylor
norman tokar
aleks rosenberg
dave fraunces
phil nibbelink
will meugniot
films directed by actors
lev l spiro
velcrow ripper
peter care
hugh piper
kevin costner
tony craig
john passfield
james p lay
stephen spielberg
sandor stern
adam wimpenny
mark pavia
marleen gorris
michael mayer
jay duplass
lou adler
peter weller
john waters
douglas s younglove
kyle patrick alvarez
rick bieber
mark stouffer
rachel perkins
tommi lepola
craig mazin
francis ford coppolas
terry gilliam
matt parker
ryan polito
tennyson bardwell
mike barnett
jada pinkett smith
duncan ward
henry levin
hettie macdonald
jerry sangiuliano
kevin altieri
andy wachowski
grant brown
hunter weeks
john byrum
jonathan king
braddock
john hamburg
mark monroe
ted post
gordon douglas
stefan popescu
eugene levy
ron howard
martin scorsese
ken bruce
james camerons
william richert
michael hack
ingmar bergman
simcha jacobovici
federico fellinis
kuo ren wu
ubaldo ragona
james bryan
tim burton
tom pearson
bob doucette
joshua seftel
vino salame
jan egleson
david r ellis
michael gornick
grace lee
danny boyle
pitof
paul donovan
marcus cole
david winkler
joseph infantolino
richard pepin
matthew chuang
john hughes
fabrice a zaphiratos
shane thueson
freida lee mock
butch hartman
spike lees
michael bays
best director academy award
karl t hirsch
tiffany kilbourne
anthony hopkins
sean ellis
daniel zirilli
alfred hitchcock
wilson coneybeare
b scott omalley
sean penn
brad palmer
cory edwards
kirby dick
brendan fletcher
alfred hitchcock movies
warren p sonoda
stanley kubricks
duncan jones
john carpenter
la monte edwards
jerry london
robin budd
rob walker
merchant ivory
lee cipolla
mark blutman
dover koshashvili
robert conway
matthew bonifacio
rick kosick
jon knautz
steven shainberg
alex chapple
joachim schroeder
dave willis
terrence malick
warren ryans
fred williamson
michael kastenbaum
james glickenhaus
liam lynch
federico fellini
alexandre rockwell
marina gavrilova
wincat alcala
jeff lew
joan chen
edward d wood jr
martin kunert
robert d siegel
jo menell
jerami cruise
wim wenders
nia vardalos
milan konjevic
stanley kubrik
john madden
shirley barrett
eric till
adrian vitoria
andrew jacobs
chris wedge
joss whedon
don argott
martin duffy
monika treut
david mitchell
kenneth chamitoff
ralph bakshi
barry cook
sebastian panneck
tanya hamilton
joven tan
josh appignanesi
andrew cymek
marc rocco
gary harvey
vincent gallo
john polson
peter jacksons
laura gabbert
haim bouzaglo
lindsey anderson
satoshi kon
gus meins
bob rafelson
lamont johnson
akira kurusawas
gregory doran
john evans
april maiya
jalmari helander
josh stone
ralph wilcox
toni harman
chris columbus
robert pratten
geno mcgahee
ray liota
judd apatow
vince vieluf
stanley isaacs
paul aaron
james erskine
shuhei morita
david petrarca
jefery levy
edward zwick
rob zombie
wen jiang
johnny depp
michelangelo antonioni
pascal franchot
carlos saura
scott f evans
julie dash
sam wood
gary hartle
walter grauman
randy barbato
annette haywood carter
penny marshall
brad peyton
fritz manger
kriv stenders
martin barnewitz
doug campbell
gus van sant
ned farr
dominique milano
paddy breathnach
samuel m sherman
fina torres
d w griffith
william wyler
h c potter
martin scorseses
jack gold
michael stephenson
jorma taccone
dan peterson
christopher leitch
debbie isitt
robert altman
harold ramis
harry basil
lucas
mike davis
jeremy wallace
kenn navarro
joe camp
c b harding
toby wilkins
matthew kohnen
mark rydell
ron clements
akira kurosawa
tim king
robert uth
roger gould
dee mosbacher
jeremy okeefe
laurent bouzereau
anthony asquith
rob sitch
richard harris
tommy lee jones
bernie denk
joseph kane
james ivory
ashley horner
arthur alston
lucy akhurst
michael j weithorn
eddy houchins
quentin tarentino
neil h weiss
evan richards
ian mackenzie
